Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=9 binary=100010
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 2935ms | tok/sec: 178,630 | mfu: 5.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185896 | lrm: 1.00 | dt: 638ms | tok/sec: 821,798 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.158683 | lrm: 1.00 | dt: 639ms | tok/sec: 821,073 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.844270 | lrm: 1.00 | dt: 639ms | tok/sec: 820,582 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.534231 | lrm: 1.00 | dt: 639ms | tok/sec: 821,058 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.206157 | lrm: 1.00 | dt: 639ms | tok/sec: 820,912 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.914900 | lrm: 1.00 | dt: 639ms | tok/sec: 820,853 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.665939 | lrm: 1.00 | dt: 639ms | tok/sec: 821,089 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.437547 | lrm: 1.00 | dt: 639ms | tok/sec: 820,796 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.223047 | lrm: 1.00 | dt: 639ms | tok/sec: 820,602 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.035400 | lrm: 1.00 | dt: 639ms | tok/sec: 820,582 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.869790 | lrm: 1.00 | dt: 639ms | tok/sec: 820,359 | mfu: 23.0% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.719615 | lrm: 1.00 | dt: 639ms | tok/sec: 820,112 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.583590 | lrm: 1.00 | dt: 639ms | tok/sec: 819,891 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.462826 | lrm: 1.00 | dt: 639ms | tok/sec: 820,088 | mfu: 22.9% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 6.356696 | lrm: 1.00 | dt: 639ms | tok/sec: 819,982 | mfu: 22.9% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 6.261274 | lrm: 1.00 | dt: 640ms | tok/sec: 819,634 | mfu: 22.9% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 6.174419 | lrm: 1.00 | dt: 639ms | tok/sec: 820,072 | mfu: 22.9% | epoch: 1 | remaining: 296s    
step 00018 (1.5%) | loss: 6.097110 | lrm: 1.00 | dt: 640ms | tok/sec: 819,829 | mfu: 22.9% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.030053 | lrm: 1.00 | dt: 639ms | tok/sec: 820,118 | mfu: 22.9% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 5.969657 | lrm: 1.00 | dt: 640ms | tok/sec: 819,815 | mfu: 22.9% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 5.913368 | lrm: 1.00 | dt: 640ms | tok/sec: 819,560 | mfu: 22.9% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 5.863597 | lrm: 1.00 | dt: 640ms | tok/sec: 819,517 | mfu: 22.9% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 5.818605 | lrm: 1.00 | dt: 640ms | tok/sec: 819,593 | mfu: 22.9% | epoch: 1 | remaining: 292s    
step 00024 (2.8%) | loss: 5.776883 | lrm: 1.00 | dt: 640ms | tok/sec: 819,789 | mfu: 22.9% | epoch: 1 | remaining: 291s    
step 00025 (3.0%) | loss: 5.736703 | lrm: 1.00 | dt: 640ms | tok/sec: 819,590 | mfu: 22.9% | epoch: 1 | remaining: 290s    
step 00026 (3.2%) | loss: 5.697037 | lrm: 1.00 | dt: 640ms | tok/sec: 819,479 | mfu: 22.9% | epoch: 1 | remaining: 290s    
step 00027 (3.4%) | loss: 5.664287 | lrm: 1.00 | dt: 640ms | tok/sec: 819,297 | mfu: 22.9% | epoch: 1 | remaining: 289s    
step 00028 (3.6%) | loss: 5.632635 | lrm: 1.00 | dt: 640ms | tok/sec: 818,934 | mfu: 22.9% | epoch: 1 | remaining: 288s    
step 00029 (3.8%) | loss: 5.604010 | lrm: 1.00 | dt: 640ms | tok/sec: 819,500 | mfu: 22.9% | epoch: 1 | remaining: 288s    
step 00030 (4.1%) | loss: 5.576451 | lrm: 1.00 | dt: 640ms | tok/sec: 819,433 | mfu: 22.9% | epoch: 1 | remaining: 287s    
step 00031 (4.3%) | loss: 5.550424 | lrm: 1.00 | dt: 640ms | tok/sec: 819,259 | mfu: 22.9% | epoch: 1 | remaining: 287s    
step 00032 (4.5%) | loss: 5.526701 | lrm: 1.00 | dt: 640ms | tok/sec: 819,200 | mfu: 22.9% | epoch: 1 | remaining: 286s    
step 00033 (4.7%) | loss: 5.503035 | lrm: 1.00 | dt: 640ms | tok/sec: 819,246 | mfu: 22.9% | epoch: 1 | remaining: 285s    
step 00034 (4.9%) | loss: 5.476984 | lrm: 1.00 | dt: 640ms | tok/sec: 819,366 | mfu: 22.9% | epoch: 1 | remaining: 285s    
step 00035 (5.1%) | loss: 5.456165 | lrm: 1.00 | dt: 640ms | tok/sec: 819,274 | mfu: 22.9% | epoch: 1 | remaining: 284s    
step 00036 (5.3%) | loss: 5.441068 | lrm: 1.00 | dt: 640ms | tok/sec: 819,317 | mfu: 22.9% | epoch: 1 | remaining: 283s    
