Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=73 binary=101000
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 3.271557e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 3019ms | tok/sec: 173,670 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191327 | lrm: 1.00 | dt: 733ms | tok/sec: 715,514 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.956004 | lrm: 1.00 | dt: 733ms | tok/sec: 715,332 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.538385 | lrm: 1.00 | dt: 734ms | tok/sec: 714,633 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.112878 | lrm: 1.00 | dt: 733ms | tok/sec: 715,224 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.746173 | lrm: 1.00 | dt: 733ms | tok/sec: 715,023 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.446529 | lrm: 1.00 | dt: 734ms | tok/sec: 714,234 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.199509 | lrm: 1.00 | dt: 734ms | tok/sec: 714,364 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.986676 | lrm: 1.00 | dt: 735ms | tok/sec: 713,617 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.800646 | lrm: 1.00 | dt: 736ms | tok/sec: 712,319 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.643413 | lrm: 1.00 | dt: 735ms | tok/sec: 713,456 | mfu: 23.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.508609 | lrm: 1.00 | dt: 734ms | tok/sec: 713,925 | mfu: 23.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.390634 | lrm: 1.00 | dt: 735ms | tok/sec: 713,753 | mfu: 23.6% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.290135 | lrm: 1.00 | dt: 735ms | tok/sec: 713,641 | mfu: 23.6% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.196867 | lrm: 1.00 | dt: 735ms | tok/sec: 713,640 | mfu: 23.6% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.116656 | lrm: 1.00 | dt: 735ms | tok/sec: 713,326 | mfu: 23.6% | epoch: 1 | remaining: 296s    
step 00016 (1.2%) | loss: 6.043624 | lrm: 1.00 | dt: 735ms | tok/sec: 713,198 | mfu: 23.6% | epoch: 1 | remaining: 296s    
step 00017 (1.5%) | loss: 5.977254 | lrm: 1.00 | dt: 736ms | tok/sec: 712,716 | mfu: 23.6% | epoch: 1 | remaining: 295s    
step 00018 (1.7%) | loss: 5.917404 | lrm: 1.00 | dt: 736ms | tok/sec: 712,522 | mfu: 23.6% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.865926 | lrm: 1.00 | dt: 735ms | tok/sec: 713,361 | mfu: 23.6% | epoch: 1 | remaining: 293s    
step 00020 (2.2%) | loss: 5.819840 | lrm: 1.00 | dt: 735ms | tok/sec: 712,941 | mfu: 23.6% | epoch: 1 | remaining: 293s    
step 00021 (2.5%) | loss: 5.776868 | lrm: 1.00 | dt: 736ms | tok/sec: 712,593 | mfu: 23.6% | epoch: 1 | remaining: 292s    
step 00022 (2.7%) | loss: 5.735859 | lrm: 1.00 | dt: 736ms | tok/sec: 711,971 | mfu: 23.5% | epoch: 1 | remaining: 291s    
step 00023 (2.9%) | loss: 5.699063 | lrm: 1.00 | dt: 736ms | tok/sec: 712,412 | mfu: 23.6% | epoch: 1 | remaining: 290s    
step 00024 (3.2%) | loss: 5.664859 | lrm: 1.00 | dt: 736ms | tok/sec: 712,598 | mfu: 23.6% | epoch: 1 | remaining: 290s    
step 00025 (3.4%) | loss: 5.633588 | lrm: 1.00 | dt: 736ms | tok/sec: 712,676 | mfu: 23.6% | epoch: 1 | remaining: 289s    
step 00026 (3.7%) | loss: 5.602760 | lrm: 1.00 | dt: 736ms | tok/sec: 712,598 | mfu: 23.6% | epoch: 1 | remaining: 288s    
step 00027 (3.9%) | loss: 5.577344 | lrm: 1.00 | dt: 736ms | tok/sec: 711,971 | mfu: 23.5% | epoch: 1 | remaining: 287s    
step 00028 (4.2%) | loss: 5.552028 | lrm: 1.00 | dt: 736ms | tok/sec: 712,142 | mfu: 23.5% | epoch: 1 | remaining: 287s    
step 00029 (4.4%) | loss: 5.527839 | lrm: 1.00 | dt: 736ms | tok/sec: 712,477 | mfu: 23.6% | epoch: 1 | remaining: 286s    
step 00030 (4.7%) | loss: 5.502749 | lrm: 1.00 | dt: 736ms | tok/sec: 712,310 | mfu: 23.6% | epoch: 1 | remaining: 285s    
step 00031 (4.9%) | loss: 5.476971 | lrm: 1.00 | dt: 736ms | tok/sec: 711,984 | mfu: 23.5% | epoch: 1 | remaining: 285s    
step 00032 (5.1%) | loss: 5.455701 | lrm: 1.00 | dt: 737ms | tok/sec: 711,024 | mfu: 23.5% | epoch: 1 | remaining: 284s    
step 00033 (5.4%) | loss: 5.433332 | lrm: 1.00 | dt: 737ms | tok/sec: 711,552 | mfu: 23.5% | epoch: 1 | remaining: 283s    
step 00034 (5.6%) | loss: 5.409122 | lrm: 1.00 | dt: 737ms | tok/sec: 711,825 | mfu: 23.5% | epoch: 1 | remaining: 282s    
step 00035 (5.9%) | loss: 5.388004 | lrm: 1.00 | dt: 737ms | tok/sec: 711,720 | mfu: 23.5% | epoch: 1 | remaining: 282s    
step 00036 (6.1%) | loss: 5.371949 | lrm: 1.00 | dt: 736ms | tok/sec: 712,143 | mfu: 23.5% | epoch: 1 | remaining: 281s    
