Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=31 binary=111011
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'sliding_window', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 2.894070e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 3053ms | tok/sec: 171,724 | mfu: 5.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191195 | lrm: 1.00 | dt: 756ms | tok/sec: 693,056 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.955766 | lrm: 1.00 | dt: 756ms | tok/sec: 693,113 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.538020 | lrm: 1.00 | dt: 757ms | tok/sec: 692,890 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.112936 | lrm: 1.00 | dt: 757ms | tok/sec: 692,865 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.747162 | lrm: 1.00 | dt: 757ms | tok/sec: 692,747 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.448106 | lrm: 1.00 | dt: 757ms | tok/sec: 692,357 | mfu: 20.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.201482 | lrm: 1.00 | dt: 758ms | tok/sec: 691,309 | mfu: 20.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.990033 | lrm: 1.00 | dt: 759ms | tok/sec: 691,126 | mfu: 20.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.804233 | lrm: 1.00 | dt: 758ms | tok/sec: 691,684 | mfu: 20.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.646685 | lrm: 1.00 | dt: 758ms | tok/sec: 691,468 | mfu: 20.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.510943 | lrm: 1.00 | dt: 758ms | tok/sec: 691,513 | mfu: 20.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.391910 | lrm: 1.00 | dt: 758ms | tok/sec: 691,339 | mfu: 20.2% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.290865 | lrm: 1.00 | dt: 759ms | tok/sec: 691,210 | mfu: 20.2% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.196070 | lrm: 1.00 | dt: 758ms | tok/sec: 691,284 | mfu: 20.2% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.116594 | lrm: 1.00 | dt: 759ms | tok/sec: 691,082 | mfu: 20.2% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.045675 | lrm: 1.00 | dt: 759ms | tok/sec: 690,667 | mfu: 20.2% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 5.980154 | lrm: 1.00 | dt: 759ms | tok/sec: 691,151 | mfu: 20.2% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 5.920627 | lrm: 1.00 | dt: 759ms | tok/sec: 690,469 | mfu: 20.2% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.869160 | lrm: 1.00 | dt: 759ms | tok/sec: 690,734 | mfu: 20.2% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.822444 | lrm: 1.00 | dt: 760ms | tok/sec: 690,263 | mfu: 20.2% | epoch: 1 | remaining: 292s    
step 00021 (2.5%) | loss: 5.779024 | lrm: 1.00 | dt: 759ms | tok/sec: 690,882 | mfu: 20.2% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 5.738116 | lrm: 1.00 | dt: 759ms | tok/sec: 690,761 | mfu: 20.2% | epoch: 1 | remaining: 291s    
step 00023 (3.0%) | loss: 5.702007 | lrm: 1.00 | dt: 759ms | tok/sec: 690,603 | mfu: 20.2% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 5.667843 | lrm: 1.00 | dt: 759ms | tok/sec: 690,453 | mfu: 20.2% | epoch: 1 | remaining: 289s    
step 00025 (3.5%) | loss: 5.637666 | lrm: 1.00 | dt: 759ms | tok/sec: 690,459 | mfu: 20.2% | epoch: 1 | remaining: 289s    
step 00026 (3.8%) | loss: 5.605147 | lrm: 1.00 | dt: 759ms | tok/sec: 690,332 | mfu: 20.2% | epoch: 1 | remaining: 288s    
step 00027 (4.0%) | loss: 5.579690 | lrm: 1.00 | dt: 760ms | tok/sec: 690,284 | mfu: 20.2% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.554230 | lrm: 1.00 | dt: 760ms | tok/sec: 690,209 | mfu: 20.2% | epoch: 1 | remaining: 286s    
step 00029 (4.6%) | loss: 5.531525 | lrm: 1.00 | dt: 760ms | tok/sec: 689,845 | mfu: 20.2% | epoch: 1 | remaining: 286s    
step 00030 (4.8%) | loss: 5.508734 | lrm: 1.00 | dt: 760ms | tok/sec: 689,997 | mfu: 20.2% | epoch: 1 | remaining: 285s    
step 00031 (5.1%) | loss: 5.484081 | lrm: 1.00 | dt: 760ms | tok/sec: 689,873 | mfu: 20.2% | epoch: 1 | remaining: 284s    
step 00032 (5.3%) | loss: 5.463015 | lrm: 1.00 | dt: 760ms | tok/sec: 689,889 | mfu: 20.2% | epoch: 1 | remaining: 283s    
step 00033 (5.6%) | loss: 5.442005 | lrm: 1.00 | dt: 760ms | tok/sec: 689,896 | mfu: 20.2% | epoch: 1 | remaining: 283s    
step 00034 (5.8%) | loss: 5.417421 | lrm: 1.00 | dt: 761ms | tok/sec: 689,307 | mfu: 20.2% | epoch: 1 | remaining: 282s    
step 00035 (6.1%) | loss: 5.397084 | lrm: 1.00 | dt: 761ms | tok/sec: 689,174 | mfu: 20.2% | epoch: 1 | remaining: 281s    
step 00036 (6.3%) | loss: 5.379414 | lrm: 1.00 | dt: 761ms | tok/sec: 689,177 | mfu: 20.2% | epoch: 1 | remaining: 280s    
