Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=28 binary=011011
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 2.894070e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2789ms | tok/sec: 187,960 | mfu: 5.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853477 | lrm: 1.00 | dt: 695ms | tok/sec: 754,256 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.462286 | lrm: 1.00 | dt: 697ms | tok/sec: 752,409 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.004141 | lrm: 1.00 | dt: 696ms | tok/sec: 752,780 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.603555 | lrm: 1.00 | dt: 697ms | tok/sec: 752,384 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.265604 | lrm: 1.00 | dt: 697ms | tok/sec: 752,612 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.012189 | lrm: 1.00 | dt: 696ms | tok/sec: 753,198 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.804155 | lrm: 1.00 | dt: 696ms | tok/sec: 752,831 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.627590 | lrm: 1.00 | dt: 697ms | tok/sec: 751,823 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.998233 | lrm: 1.00 | dt: 698ms | tok/sec: 751,254 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.803661 | lrm: 1.00 | dt: 698ms | tok/sec: 751,117 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.637298 | lrm: 1.00 | dt: 698ms | tok/sec: 751,268 | mfu: 22.0% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.494443 | lrm: 1.00 | dt: 698ms | tok/sec: 751,431 | mfu: 22.0% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.374724 | lrm: 1.00 | dt: 697ms | tok/sec: 751,861 | mfu: 22.0% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.265124 | lrm: 1.00 | dt: 698ms | tok/sec: 750,849 | mfu: 22.0% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 6.172344 | lrm: 1.00 | dt: 699ms | tok/sec: 750,432 | mfu: 21.9% | epoch: 1 | remaining: 297s    
step 00016 (1.2%) | loss: 6.089114 | lrm: 1.00 | dt: 699ms | tok/sec: 750,408 | mfu: 21.9% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 6.014651 | lrm: 1.00 | dt: 698ms | tok/sec: 750,620 | mfu: 22.0% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.948290 | lrm: 1.00 | dt: 699ms | tok/sec: 750,204 | mfu: 21.9% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 5.891693 | lrm: 1.00 | dt: 699ms | tok/sec: 749,902 | mfu: 21.9% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.840738 | lrm: 1.00 | dt: 700ms | tok/sec: 749,051 | mfu: 21.9% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 5.793484 | lrm: 1.00 | dt: 700ms | tok/sec: 748,658 | mfu: 21.9% | epoch: 1 | remaining: 292s    
step 00022 (2.6%) | loss: 5.749516 | lrm: 1.00 | dt: 700ms | tok/sec: 748,929 | mfu: 21.9% | epoch: 1 | remaining: 292s    
step 00023 (2.8%) | loss: 5.710998 | lrm: 1.00 | dt: 700ms | tok/sec: 748,543 | mfu: 21.9% | epoch: 1 | remaining: 291s    
step 00024 (3.0%) | loss: 5.675779 | lrm: 1.00 | dt: 700ms | tok/sec: 749,058 | mfu: 21.9% | epoch: 1 | remaining: 290s    
step 00025 (3.3%) | loss: 5.643098 | lrm: 1.00 | dt: 700ms | tok/sec: 749,379 | mfu: 21.9% | epoch: 1 | remaining: 290s    
step 00026 (3.5%) | loss: 5.609627 | lrm: 1.00 | dt: 700ms | tok/sec: 748,550 | mfu: 21.9% | epoch: 1 | remaining: 289s    
step 00027 (3.7%) | loss: 5.581773 | lrm: 1.00 | dt: 700ms | tok/sec: 748,932 | mfu: 21.9% | epoch: 1 | remaining: 288s    
step 00028 (4.0%) | loss: 5.555857 | lrm: 1.00 | dt: 700ms | tok/sec: 748,471 | mfu: 21.9% | epoch: 1 | remaining: 287s    
step 00029 (4.2%) | loss: 5.532300 | lrm: 1.00 | dt: 702ms | tok/sec: 747,279 | mfu: 21.9% | epoch: 1 | remaining: 287s    
step 00030 (4.4%) | loss: 5.508015 | lrm: 1.00 | dt: 701ms | tok/sec: 747,537 | mfu: 21.9% | epoch: 1 | remaining: 286s    
step 00031 (4.7%) | loss: 5.483568 | lrm: 1.00 | dt: 702ms | tok/sec: 746,669 | mfu: 21.8% | epoch: 1 | remaining: 285s    
step 00032 (4.9%) | loss: 5.462269 | lrm: 1.00 | dt: 701ms | tok/sec: 747,750 | mfu: 21.9% | epoch: 1 | remaining: 285s    
step 00033 (5.1%) | loss: 5.439525 | lrm: 1.00 | dt: 702ms | tok/sec: 747,264 | mfu: 21.9% | epoch: 1 | remaining: 284s    
step 00034 (5.4%) | loss: 5.416683 | lrm: 1.00 | dt: 701ms | tok/sec: 747,797 | mfu: 21.9% | epoch: 1 | remaining: 283s    
step 00035 (5.6%) | loss: 5.397324 | lrm: 1.00 | dt: 702ms | tok/sec: 746,696 | mfu: 21.8% | epoch: 1 | remaining: 283s    
step 00036 (5.8%) | loss: 5.378999 | lrm: 1.00 | dt: 702ms | tok/sec: 746,860 | mfu: 21.8% | epoch: 1 | remaining: 282s    
step 00037 (6.1%) | loss: 5.359861 | lrm: 1.00 | dt: 703ms | tok/sec: 745,916 | mfu: 21.8% | epoch: 1 | remaining: 281s    
step 00038 (6.3%) | loss: 5.341352 | lrm: 1.00 | dt: 703ms | tok/sec: 745,365 | mfu: 21.8% | epoch: 1 | remaining: 280s    
step 00039 (6.5%) | loss: 5.317574 | lrm: 1.00 | dt: 702ms | tok/sec: 747,255 | mfu: 21.9% | epoch: 1 | remaining: 280s    
step 00040 (6.8%) | loss: 5.294951 | lrm: 1.00 | dt: 702ms | tok/sec: 746,328 | mfu: 21.8% | epoch: 1 | remaining: 279s    
step 00041 (7.0%) | loss: 5.276140 | lrm: 1.00 | dt: 703ms | tok/sec: 745,803 | mfu: 21.8% | epoch: 1 | remaining: 278s    
step 00042 (7.2%) | loss: 5.258727 | lrm: 1.00 | dt: 703ms | tok/sec: 745,794 | mfu: 21.8% | epoch: 1 | remaining: 278s    
step 00043 (7.5%) | loss: 5.234880 | lrm: 1.00 | dt: 704ms | tok/sec: 744,918 | mfu: 21.8% | epoch: 1 | remaining: 277s    
step 00044 (7.7%) | loss: 5.214017 | lrm: 1.00 | dt: 703ms | tok/sec: 745,366 | mfu: 21.8% | epoch: 1 | remaining: 276s    
step 00045 (7.9%) | loss: 5.194891 | lrm: 1.00 | dt: 704ms | tok/sec: 745,040 | mfu: 21.8% | epoch: 1 | remaining: 275s    
step 00046 (8.2%) | loss: 5.177599 | lrm: 1.00 | dt: 704ms | tok/sec: 744,329 | mfu: 21.8% | epoch: 1 | remaining: 275s    
step 00047 (8.4%) | loss: 5.155611 | lrm: 1.00 | dt: 703ms | tok/sec: 745,332 | mfu: 21.8% | epoch: 1 | remaining: 274s    
step 00048 (8.6%) | loss: 5.139667 | lrm: 1.00 | dt: 704ms | tok/sec: 744,307 | mfu: 21.8% | epoch: 1 | remaining: 273s    
step 00049 (8.9%) | loss: 5.121643 | lrm: 1.00 | dt: 705ms | tok/sec: 743,818 | mfu: 21.8% | epoch: 1 | remaining: 273s    
