Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=69 binary=011110
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 2.894100e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 3286ms | tok/sec: 159,530 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853439 | lrm: 1.00 | dt: 704ms | tok/sec: 744,657 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.460952 | lrm: 1.00 | dt: 704ms | tok/sec: 744,244 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.001549 | lrm: 1.00 | dt: 705ms | tok/sec: 743,833 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.615170 | lrm: 1.00 | dt: 705ms | tok/sec: 744,100 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.275670 | lrm: 1.00 | dt: 705ms | tok/sec: 743,926 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.023262 | lrm: 1.00 | dt: 705ms | tok/sec: 743,836 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.815567 | lrm: 1.00 | dt: 706ms | tok/sec: 742,842 | mfu: 21.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.638535 | lrm: 1.00 | dt: 706ms | tok/sec: 742,926 | mfu: 21.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.487136 | lrm: 1.00 | dt: 706ms | tok/sec: 742,860 | mfu: 21.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.362065 | lrm: 1.00 | dt: 706ms | tok/sec: 742,404 | mfu: 21.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.254602 | lrm: 1.00 | dt: 706ms | tok/sec: 742,459 | mfu: 21.7% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.160930 | lrm: 1.00 | dt: 707ms | tok/sec: 742,071 | mfu: 21.7% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.082322 | lrm: 1.00 | dt: 707ms | tok/sec: 741,547 | mfu: 21.7% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.007459 | lrm: 1.00 | dt: 707ms | tok/sec: 742,058 | mfu: 21.7% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.944467 | lrm: 1.00 | dt: 707ms | tok/sec: 741,926 | mfu: 21.7% | epoch: 1 | remaining: 296s    
step 00016 (1.2%) | loss: 5.886745 | lrm: 1.00 | dt: 707ms | tok/sec: 741,428 | mfu: 21.7% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.833428 | lrm: 1.00 | dt: 707ms | tok/sec: 741,688 | mfu: 21.7% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.784894 | lrm: 1.00 | dt: 707ms | tok/sec: 741,484 | mfu: 21.7% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 5.742949 | lrm: 1.00 | dt: 709ms | tok/sec: 739,697 | mfu: 21.6% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.704387 | lrm: 1.00 | dt: 707ms | tok/sec: 741,097 | mfu: 21.7% | epoch: 1 | remaining: 293s    
step 00021 (2.4%) | loss: 5.666281 | lrm: 1.00 | dt: 709ms | tok/sec: 739,754 | mfu: 21.6% | epoch: 1 | remaining: 292s    
step 00022 (2.6%) | loss: 5.629338 | lrm: 1.00 | dt: 708ms | tok/sec: 740,090 | mfu: 21.6% | epoch: 1 | remaining: 292s    
step 00023 (2.8%) | loss: 5.596012 | lrm: 1.00 | dt: 708ms | tok/sec: 740,587 | mfu: 21.7% | epoch: 1 | remaining: 291s    
step 00024 (3.1%) | loss: 5.564785 | lrm: 1.00 | dt: 709ms | tok/sec: 739,524 | mfu: 21.6% | epoch: 1 | remaining: 290s    
step 00025 (3.3%) | loss: 5.533803 | lrm: 1.00 | dt: 708ms | tok/sec: 740,011 | mfu: 21.6% | epoch: 1 | remaining: 289s    
step 00026 (3.5%) | loss: 5.500027 | lrm: 1.00 | dt: 709ms | tok/sec: 739,660 | mfu: 21.6% | epoch: 1 | remaining: 289s    
step 00027 (3.8%) | loss: 5.471037 | lrm: 1.00 | dt: 708ms | tok/sec: 740,070 | mfu: 21.6% | epoch: 1 | remaining: 288s    
step 00028 (4.0%) | loss: 5.442685 | lrm: 1.00 | dt: 709ms | tok/sec: 739,112 | mfu: 21.6% | epoch: 1 | remaining: 287s    
step 00029 (4.2%) | loss: 5.416596 | lrm: 1.00 | dt: 709ms | tok/sec: 739,206 | mfu: 21.6% | epoch: 1 | remaining: 287s    
step 00030 (4.5%) | loss: 5.388811 | lrm: 1.00 | dt: 709ms | tok/sec: 739,670 | mfu: 21.6% | epoch: 1 | remaining: 286s    
step 00031 (4.7%) | loss: 5.359227 | lrm: 1.00 | dt: 709ms | tok/sec: 739,728 | mfu: 21.6% | epoch: 1 | remaining: 285s    
step 00032 (5.0%) | loss: 5.332837 | lrm: 1.00 | dt: 709ms | tok/sec: 739,543 | mfu: 21.6% | epoch: 1 | remaining: 284s    
step 00033 (5.2%) | loss: 5.304189 | lrm: 1.00 | dt: 709ms | tok/sec: 739,235 | mfu: 21.6% | epoch: 1 | remaining: 284s    
step 00034 (5.4%) | loss: 5.274095 | lrm: 1.00 | dt: 709ms | tok/sec: 739,488 | mfu: 21.6% | epoch: 1 | remaining: 283s    
step 00035 (5.7%) | loss: 5.246791 | lrm: 1.00 | dt: 711ms | tok/sec: 737,699 | mfu: 21.6% | epoch: 1 | remaining: 282s    
step 00036 (5.9%) | loss: 5.222690 | lrm: 1.00 | dt: 710ms | tok/sec: 738,285 | mfu: 21.6% | epoch: 1 | remaining: 282s    
step 00037 (6.1%) | loss: 5.196286 | lrm: 1.00 | dt: 710ms | tok/sec: 738,124 | mfu: 21.6% | epoch: 1 | remaining: 281s    
step 00038 (6.4%) | loss: 5.171185 | lrm: 1.00 | dt: 711ms | tok/sec: 737,316 | mfu: 21.6% | epoch: 1 | remaining: 280s    
step 00039 (6.6%) | loss: 5.140872 | lrm: 1.00 | dt: 711ms | tok/sec: 737,863 | mfu: 21.6% | epoch: 1 | remaining: 279s    
step 00040 (6.8%) | loss: 5.112407 | lrm: 1.00 | dt: 711ms | tok/sec: 737,895 | mfu: 21.6% | epoch: 1 | remaining: 279s    
step 00041 (7.1%) | loss: 5.087790 | lrm: 1.00 | dt: 710ms | tok/sec: 738,064 | mfu: 21.6% | epoch: 1 | remaining: 278s    
step 00042 (7.3%) | loss: 5.063945 | lrm: 1.00 | dt: 712ms | tok/sec: 736,093 | mfu: 21.5% | epoch: 1 | remaining: 277s    
step 00043 (7.6%) | loss: 5.034380 | lrm: 1.00 | dt: 712ms | tok/sec: 736,608 | mfu: 21.5% | epoch: 1 | remaining: 277s    
step 00044 (7.8%) | loss: 5.007956 | lrm: 1.00 | dt: 712ms | tok/sec: 735,873 | mfu: 21.5% | epoch: 1 | remaining: 276s    
step 00045 (8.0%) | loss: 4.982040 | lrm: 1.00 | dt: 712ms | tok/sec: 736,737 | mfu: 21.5% | epoch: 1 | remaining: 275s    
