Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=80 binary=101111
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 3.271588e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 3099ms | tok/sec: 169,197 | mfu: 5.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191219 | lrm: 1.00 | dt: 765ms | tok/sec: 685,377 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.952863 | lrm: 1.00 | dt: 765ms | tok/sec: 685,248 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.524093 | lrm: 1.00 | dt: 765ms | tok/sec: 685,026 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.109026 | lrm: 1.00 | dt: 766ms | tok/sec: 684,632 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.732411 | lrm: 1.00 | dt: 766ms | tok/sec: 684,727 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.434266 | lrm: 1.00 | dt: 766ms | tok/sec: 684,750 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.188784 | lrm: 1.00 | dt: 766ms | tok/sec: 684,351 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.977338 | lrm: 1.00 | dt: 767ms | tok/sec: 683,970 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.792792 | lrm: 1.00 | dt: 766ms | tok/sec: 684,078 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.637350 | lrm: 1.00 | dt: 766ms | tok/sec: 684,069 | mfu: 22.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.503418 | lrm: 1.00 | dt: 767ms | tok/sec: 683,620 | mfu: 22.6% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.386283 | lrm: 1.00 | dt: 767ms | tok/sec: 683,822 | mfu: 22.6% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.286706 | lrm: 1.00 | dt: 767ms | tok/sec: 683,654 | mfu: 22.6% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.193198 | lrm: 1.00 | dt: 767ms | tok/sec: 683,200 | mfu: 22.6% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.113346 | lrm: 1.00 | dt: 767ms | tok/sec: 683,537 | mfu: 22.6% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.040933 | lrm: 1.00 | dt: 767ms | tok/sec: 683,585 | mfu: 22.6% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 5.974878 | lrm: 1.00 | dt: 767ms | tok/sec: 683,333 | mfu: 22.6% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 5.915170 | lrm: 1.00 | dt: 767ms | tok/sec: 683,115 | mfu: 22.6% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.862899 | lrm: 1.00 | dt: 768ms | tok/sec: 683,040 | mfu: 22.6% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.814707 | lrm: 1.00 | dt: 767ms | tok/sec: 683,303 | mfu: 22.6% | epoch: 1 | remaining: 292s    
step 00021 (2.6%) | loss: 5.768524 | lrm: 1.00 | dt: 767ms | tok/sec: 683,197 | mfu: 22.6% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 5.724720 | lrm: 1.00 | dt: 768ms | tok/sec: 682,857 | mfu: 22.6% | epoch: 1 | remaining: 291s    
step 00023 (3.1%) | loss: 5.684905 | lrm: 1.00 | dt: 768ms | tok/sec: 682,875 | mfu: 22.6% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 5.646076 | lrm: 1.00 | dt: 768ms | tok/sec: 683,032 | mfu: 22.6% | epoch: 1 | remaining: 289s    
step 00025 (3.6%) | loss: 5.608492 | lrm: 1.00 | dt: 768ms | tok/sec: 682,574 | mfu: 22.6% | epoch: 1 | remaining: 288s    
step 00026 (3.8%) | loss: 5.567847 | lrm: 1.00 | dt: 768ms | tok/sec: 682,922 | mfu: 22.6% | epoch: 1 | remaining: 288s    
step 00027 (4.1%) | loss: 5.533689 | lrm: 1.00 | dt: 769ms | tok/sec: 682,164 | mfu: 22.6% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.501611 | lrm: 1.00 | dt: 768ms | tok/sec: 682,911 | mfu: 22.6% | epoch: 1 | remaining: 286s    
step 00029 (4.6%) | loss: 5.469775 | lrm: 1.00 | dt: 768ms | tok/sec: 682,256 | mfu: 22.6% | epoch: 1 | remaining: 285s    
step 00030 (4.9%) | loss: 5.437077 | lrm: 1.00 | dt: 768ms | tok/sec: 682,317 | mfu: 22.6% | epoch: 1 | remaining: 285s    
step 00031 (5.1%) | loss: 5.404028 | lrm: 1.00 | dt: 769ms | tok/sec: 682,005 | mfu: 22.5% | epoch: 1 | remaining: 284s    
step 00032 (5.4%) | loss: 5.372996 | lrm: 1.00 | dt: 769ms | tok/sec: 682,009 | mfu: 22.5% | epoch: 1 | remaining: 283s    
step 00033 (5.6%) | loss: 5.339158 | lrm: 1.00 | dt: 768ms | tok/sec: 682,646 | mfu: 22.6% | epoch: 1 | remaining: 282s    
step 00034 (5.9%) | loss: 5.304436 | lrm: 1.00 | dt: 770ms | tok/sec: 681,211 | mfu: 22.5% | epoch: 1 | remaining: 282s    
step 00035 (6.1%) | loss: 5.273513 | lrm: 1.00 | dt: 769ms | tok/sec: 681,646 | mfu: 22.5% | epoch: 1 | remaining: 281s    
step 00036 (6.4%) | loss: 5.244569 | lrm: 1.00 | dt: 770ms | tok/sec: 680,701 | mfu: 22.5% | epoch: 1 | remaining: 280s    
step 00037 (6.7%) | loss: 5.214755 | lrm: 1.00 | dt: 769ms | tok/sec: 681,720 | mfu: 22.5% | epoch: 1 | remaining: 279s    
step 00038 (6.9%) | loss: 5.186840 | lrm: 1.00 | dt: 769ms | tok/sec: 681,752 | mfu: 22.5% | epoch: 1 | remaining: 278s    
step 00039 (7.2%) | loss: 5.152664 | lrm: 1.00 | dt: 768ms | tok/sec: 682,362 | mfu: 22.6% | epoch: 1 | remaining: 278s    
