Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=17 binary=101011
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 3.271557e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 14774ms | tok/sec: 35,487 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191195 | lrm: 1.00 | dt: 755ms | tok/sec: 694,374 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.955768 | lrm: 1.00 | dt: 755ms | tok/sec: 694,839 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.538023 | lrm: 1.00 | dt: 755ms | tok/sec: 694,588 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.112941 | lrm: 1.00 | dt: 755ms | tok/sec: 694,462 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.747188 | lrm: 1.00 | dt: 755ms | tok/sec: 694,599 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.448136 | lrm: 1.00 | dt: 755ms | tok/sec: 694,421 | mfu: 23.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.201540 | lrm: 1.00 | dt: 755ms | tok/sec: 693,985 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.990147 | lrm: 1.00 | dt: 755ms | tok/sec: 694,057 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.804410 | lrm: 1.00 | dt: 756ms | tok/sec: 693,796 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.646846 | lrm: 1.00 | dt: 756ms | tok/sec: 693,548 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.511048 | lrm: 1.00 | dt: 756ms | tok/sec: 693,415 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.391849 | lrm: 1.00 | dt: 756ms | tok/sec: 693,394 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.290709 | lrm: 1.00 | dt: 756ms | tok/sec: 693,398 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.195686 | lrm: 1.00 | dt: 756ms | tok/sec: 693,234 | mfu: 22.9% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.115812 | lrm: 1.00 | dt: 756ms | tok/sec: 693,139 | mfu: 22.9% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.044427 | lrm: 1.00 | dt: 757ms | tok/sec: 692,827 | mfu: 22.9% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 5.980796 | lrm: 1.00 | dt: 757ms | tok/sec: 692,564 | mfu: 22.9% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 5.922317 | lrm: 1.00 | dt: 757ms | tok/sec: 692,664 | mfu: 22.9% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.871281 | lrm: 1.00 | dt: 757ms | tok/sec: 692,762 | mfu: 22.9% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.825032 | lrm: 1.00 | dt: 757ms | tok/sec: 692,598 | mfu: 22.9% | epoch: 1 | remaining: 292s    
step 00021 (2.5%) | loss: 5.781614 | lrm: 1.00 | dt: 757ms | tok/sec: 692,729 | mfu: 22.9% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 5.740937 | lrm: 1.00 | dt: 757ms | tok/sec: 692,271 | mfu: 22.9% | epoch: 1 | remaining: 291s    
step 00023 (3.0%) | loss: 5.705113 | lrm: 1.00 | dt: 757ms | tok/sec: 692,512 | mfu: 22.9% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 5.671488 | lrm: 1.00 | dt: 757ms | tok/sec: 692,257 | mfu: 22.9% | epoch: 1 | remaining: 289s    
step 00025 (3.5%) | loss: 5.640210 | lrm: 1.00 | dt: 757ms | tok/sec: 692,151 | mfu: 22.9% | epoch: 1 | remaining: 289s    
step 00026 (3.8%) | loss: 5.608500 | lrm: 1.00 | dt: 757ms | tok/sec: 692,340 | mfu: 22.9% | epoch: 1 | remaining: 288s    
step 00027 (4.0%) | loss: 5.583042 | lrm: 1.00 | dt: 757ms | tok/sec: 692,334 | mfu: 22.9% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.557654 | lrm: 1.00 | dt: 758ms | tok/sec: 692,115 | mfu: 22.9% | epoch: 1 | remaining: 286s    
step 00029 (4.5%) | loss: 5.536686 | lrm: 1.00 | dt: 757ms | tok/sec: 692,209 | mfu: 22.9% | epoch: 1 | remaining: 286s    
step 00030 (4.8%) | loss: 5.514817 | lrm: 1.00 | dt: 758ms | tok/sec: 692,067 | mfu: 22.9% | epoch: 1 | remaining: 285s    
step 00031 (5.0%) | loss: 5.491847 | lrm: 1.00 | dt: 758ms | tok/sec: 691,576 | mfu: 22.9% | epoch: 1 | remaining: 284s    
step 00032 (5.3%) | loss: 5.470791 | lrm: 1.00 | dt: 758ms | tok/sec: 691,412 | mfu: 22.9% | epoch: 1 | remaining: 283s    
step 00033 (5.6%) | loss: 5.448878 | lrm: 1.00 | dt: 759ms | tok/sec: 690,829 | mfu: 22.8% | epoch: 1 | remaining: 283s    
step 00034 (5.8%) | loss: 5.425478 | lrm: 1.00 | dt: 758ms | tok/sec: 691,311 | mfu: 22.9% | epoch: 1 | remaining: 282s    
step 00035 (6.1%) | loss: 5.407865 | lrm: 1.00 | dt: 758ms | tok/sec: 691,488 | mfu: 22.9% | epoch: 1 | remaining: 281s    
step 00036 (6.3%) | loss: 5.393690 | lrm: 1.00 | dt: 758ms | tok/sec: 691,662 | mfu: 22.9% | epoch: 1 | remaining: 280s    
step 00037 (6.6%) | loss: 5.375537 | lrm: 1.00 | dt: 758ms | tok/sec: 691,652 | mfu: 22.9% | epoch: 1 | remaining: 280s    
step 00038 (6.8%) | loss: 5.357366 | lrm: 1.00 | dt: 758ms | tok/sec: 691,436 | mfu: 22.9% | epoch: 1 | remaining: 279s    
step 00039 (7.1%) | loss: 5.335927 | lrm: 1.00 | dt: 759ms | tok/sec: 691,169 | mfu: 22.9% | epoch: 1 | remaining: 278s    
step 00040 (7.3%) | loss: 5.315639 | lrm: 1.00 | dt: 759ms | tok/sec: 690,870 | mfu: 22.8% | epoch: 1 | remaining: 277s    
step 00041 (7.6%) | loss: 5.300443 | lrm: 1.00 | dt: 759ms | tok/sec: 691,188 | mfu: 22.9% | epoch: 1 | remaining: 277s    
step 00042 (7.8%) | loss: 5.286081 | lrm: 1.00 | dt: 758ms | tok/sec: 691,257 | mfu: 22.9% | epoch: 1 | remaining: 276s    
step 00043 (8.1%) | loss: 5.265464 | lrm: 1.00 | dt: 759ms | tok/sec: 690,826 | mfu: 22.8% | epoch: 1 | remaining: 275s    
step 00044 (8.3%) | loss: 5.246260 | lrm: 1.00 | dt: 760ms | tok/sec: 690,208 | mfu: 22.8% | epoch: 1 | remaining: 274s    
step 00045 (8.6%) | loss: 5.228070 | lrm: 1.00 | dt: 759ms | tok/sec: 690,611 | mfu: 22.8% | epoch: 1 | remaining: 273s    
step 00046 (8.8%) | loss: 5.212342 | lrm: 1.00 | dt: 759ms | tok/sec: 690,501 | mfu: 22.8% | epoch: 1 | remaining: 273s    
step 00047 (9.1%) | loss: 5.193736 | lrm: 1.00 | dt: 759ms | tok/sec: 690,559 | mfu: 22.8% | epoch: 1 | remaining: 272s    
step 00048 (9.3%) | loss: 5.177246 | lrm: 1.00 | dt: 760ms | tok/sec: 690,055 | mfu: 22.8% | epoch: 1 | remaining: 271s    
step 00049 (9.6%) | loss: 5.157449 | lrm: 1.00 | dt: 760ms | tok/sec: 690,219 | mfu: 22.8% | epoch: 1 | remaining: 270s    
step 00050 (9.9%) | loss: 5.138639 | lrm: 1.00 | dt: 760ms | tok/sec: 689,983 | mfu: 22.8% | epoch: 1 | remaining: 270s    
step 00051 (10.1%) | loss: 5.125764 | lrm: 1.00 | dt: 760ms | tok/sec: 690,233 | mfu: 22.8% | epoch: 1 | remaining: 269s    
step 00052 (10.4%) | loss: 5.106964 | lrm: 1.00 | dt: 759ms | tok/sec: 690,349 | mfu: 22.8% | epoch: 1 | remaining: 268s    
step 00053 (10.6%) | loss: 5.090227 | lrm: 1.00 | dt: 760ms | tok/sec: 690,238 | mfu: 22.8% | epoch: 1 | remaining: 267s    
step 00054 (10.9%) | loss: 5.073053 | lrm: 1.00 | dt: 760ms | tok/sec: 690,009 | mfu: 22.8% | epoch: 1 | remaining: 267s    
step 00055 (11.1%) | loss: 5.052946 | lrm: 1.00 | dt: 760ms | tok/sec: 689,958 | mfu: 22.8% | epoch: 1 | remaining: 266s    
step 00056 (11.4%) | loss: 5.039564 | lrm: 1.00 | dt: 760ms | tok/sec: 689,639 | mfu: 22.8% | epoch: 1 | remaining: 265s    
step 00057 (11.6%) | loss: 5.024345 | lrm: 1.00 | dt: 760ms | tok/sec: 690,149 | mfu: 22.8% | epoch: 1 | remaining: 264s    
step 00058 (11.9%) | loss: 5.006092 | lrm: 1.00 | dt: 760ms | tok/sec: 690,065 | mfu: 22.8% | epoch: 1 | remaining: 264s    
step 00059 (12.1%) | loss: 4.982643 | lrm: 1.00 | dt: 760ms | tok/sec: 690,052 | mfu: 22.8% | epoch: 1 | remaining: 263s    
step 00060 (12.4%) | loss: 4.966560 | lrm: 1.00 | dt: 760ms | tok/sec: 690,019 | mfu: 22.8% | epoch: 1 | remaining: 262s    
step 00061 (12.6%) | loss: 4.952977 | lrm: 1.00 | dt: 760ms | tok/sec: 689,572 | mfu: 22.8% | epoch: 1 | remaining: 261s    
step 00062 (12.9%) | loss: 4.935579 | lrm: 1.00 | dt: 760ms | tok/sec: 689,632 | mfu: 22.8% | epoch: 1 | remaining: 261s    
step 00063 (13.1%) | loss: 4.918123 | lrm: 1.00 | dt: 761ms | tok/sec: 689,354 | mfu: 22.8% | epoch: 1 | remaining: 260s    
step 00064 (13.4%) | loss: 4.900868 | lrm: 1.00 | dt: 761ms | tok/sec: 688,839 | mfu: 22.8% | epoch: 1 | remaining: 259s    
step 00065 (13.7%) | loss: 4.885375 | lrm: 1.00 | dt: 760ms | tok/sec: 689,438 | mfu: 22.8% | epoch: 1 | remaining: 258s    
step 00066 (13.9%) | loss: 4.870597 | lrm: 1.00 | dt: 760ms | tok/sec: 689,480 | mfu: 22.8% | epoch: 1 | remaining: 258s    
step 00067 (14.2%) | loss: 4.855053 | lrm: 1.00 | dt: 761ms | tok/sec: 689,288 | mfu: 22.8% | epoch: 1 | remaining: 257s    
step 00068 (14.4%) | loss: 4.839523 | lrm: 1.00 | dt: 761ms | tok/sec: 689,392 | mfu: 22.8% | epoch: 1 | remaining: 256s    
step 00069 (14.7%) | loss: 4.821430 | lrm: 1.00 | dt: 760ms | tok/sec: 689,439 | mfu: 22.8% | epoch: 1 | remaining: 255s    
step 00070 (14.9%) | loss: 4.802962 | lrm: 1.00 | dt: 760ms | tok/sec: 689,488 | mfu: 22.8% | epoch: 1 | remaining: 254s    
step 00071 (15.2%) | loss: 4.779146 | lrm: 1.00 | dt: 760ms | tok/sec: 689,694 | mfu: 22.8% | epoch: 1 | remaining: 254s    
step 00072 (15.4%) | loss: 4.767362 | lrm: 1.00 | dt: 761ms | tok/sec: 689,263 | mfu: 22.8% | epoch: 1 | remaining: 253s    
step 00073 (15.7%) | loss: 4.752389 | lrm: 1.00 | dt: 760ms | tok/sec: 689,400 | mfu: 22.8% | epoch: 1 | remaining: 252s    
step 00074 (15.9%) | loss: 4.732203 | lrm: 1.00 | dt: 760ms | tok/sec: 689,424 | mfu: 22.8% | epoch: 1 | remaining: 251s    
step 00075 (16.2%) | loss: 4.714419 | lrm: 1.00 | dt: 760ms | tok/sec: 689,402 | mfu: 22.8% | epoch: 1 | remaining: 251s    
step 00076 (16.4%) | loss: 4.700246 | lrm: 1.00 | dt: 760ms | tok/sec: 689,526 | mfu: 22.8% | epoch: 1 | remaining: 250s    
step 00077 (16.7%) | loss: 4.685075 | lrm: 1.00 | dt: 761ms | tok/sec: 689,364 | mfu: 22.8% | epoch: 1 | remaining: 249s    
step 00078 (16.9%) | loss: 4.665917 | lrm: 1.00 | dt: 760ms | tok/sec: 689,833 | mfu: 22.8% | epoch: 1 | remaining: 248s    
step 00079 (17.2%) | loss: 4.645841 | lrm: 1.00 | dt: 761ms | tok/sec: 689,297 | mfu: 22.8% | epoch: 1 | remaining: 248s    
step 00080 (17.5%) | loss: 4.629377 | lrm: 1.00 | dt: 760ms | tok/sec: 689,490 | mfu: 22.8% | epoch: 1 | remaining: 247s    
step 00081 (17.7%) | loss: 4.613195 | lrm: 1.00 | dt: 760ms | tok/sec: 689,518 | mfu: 22.8% | epoch: 1 | remaining: 246s    
step 00082 (18.0%) | loss: 4.594681 | lrm: 1.00 | dt: 761ms | tok/sec: 689,316 | mfu: 22.8% | epoch: 1 | remaining: 245s    
step 00083 (18.2%) | loss: 4.571590 | lrm: 1.00 | dt: 760ms | tok/sec: 689,427 | mfu: 22.8% | epoch: 1 | remaining: 245s    
step 00084 (18.5%) | loss: 4.552066 | lrm: 1.00 | dt: 761ms | tok/sec: 689,321 | mfu: 22.8% | epoch: 1 | remaining: 244s    
step 00085 (18.7%) | loss: 4.537870 | lrm: 1.00 | dt: 761ms | tok/sec: 689,123 | mfu: 22.8% | epoch: 1 | remaining: 243s    
step 00086 (19.0%) | loss: 4.518508 | lrm: 1.00 | dt: 761ms | tok/sec: 688,930 | mfu: 22.8% | epoch: 1 | remaining: 242s    
step 00087 (19.2%) | loss: 4.502041 | lrm: 1.00 | dt: 761ms | tok/sec: 688,882 | mfu: 22.8% | epoch: 1 | remaining: 242s    
step 00088 (19.5%) | loss: 4.487090 | lrm: 1.00 | dt: 761ms | tok/sec: 688,658 | mfu: 22.8% | epoch: 1 | remaining: 241s    
step 00089 (19.7%) | loss: 4.468975 | lrm: 1.00 | dt: 762ms | tok/sec: 687,956 | mfu: 22.7% | epoch: 1 | remaining: 240s    
step 00090 (20.0%) | loss: 4.453175 | lrm: 1.00 | dt: 762ms | tok/sec: 687,638 | mfu: 22.7% | epoch: 1 | remaining: 239s    
step 00091 (20.2%) | loss: 4.435324 | lrm: 1.00 | dt: 763ms | tok/sec: 687,453 | mfu: 22.7% | epoch: 1 | remaining: 239s    
step 00092 (20.5%) | loss: 4.422271 | lrm: 1.00 | dt: 762ms | tok/sec: 688,312 | mfu: 22.8% | epoch: 1 | remaining: 238s    
step 00093 (20.8%) | loss: 4.404407 | lrm: 1.00 | dt: 761ms | tok/sec: 688,623 | mfu: 22.8% | epoch: 1 | remaining: 237s    
