Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=50 binary=100100
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 2871ms | tok/sec: 182,613 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185856 | lrm: 1.00 | dt: 623ms | tok/sec: 841,757 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.144774 | lrm: 1.00 | dt: 623ms | tok/sec: 840,924 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.810661 | lrm: 1.00 | dt: 624ms | tok/sec: 840,058 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.499955 | lrm: 1.00 | dt: 624ms | tok/sec: 840,584 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.189408 | lrm: 1.00 | dt: 624ms | tok/sec: 840,535 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.913641 | lrm: 1.00 | dt: 624ms | tok/sec: 840,572 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.678548 | lrm: 1.00 | dt: 624ms | tok/sec: 840,370 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.459337 | lrm: 1.00 | dt: 624ms | tok/sec: 840,008 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.247092 | lrm: 1.00 | dt: 625ms | tok/sec: 839,472 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.059223 | lrm: 1.00 | dt: 625ms | tok/sec: 839,394 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.892264 | lrm: 1.00 | dt: 624ms | tok/sec: 839,746 | mfu: 23.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.740022 | lrm: 1.00 | dt: 625ms | tok/sec: 839,405 | mfu: 23.5% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.602170 | lrm: 1.00 | dt: 625ms | tok/sec: 839,449 | mfu: 23.5% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.483962 | lrm: 1.00 | dt: 625ms | tok/sec: 839,426 | mfu: 23.5% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.376527 | lrm: 1.00 | dt: 624ms | tok/sec: 839,638 | mfu: 23.5% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.279754 | lrm: 1.00 | dt: 625ms | tok/sec: 838,964 | mfu: 23.5% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.190291 | lrm: 1.00 | dt: 625ms | tok/sec: 839,065 | mfu: 23.5% | epoch: 1 | remaining: 296s    
step 00018 (1.5%) | loss: 6.110776 | lrm: 1.00 | dt: 625ms | tok/sec: 838,874 | mfu: 23.5% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.039690 | lrm: 1.00 | dt: 625ms | tok/sec: 838,643 | mfu: 23.5% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 5.975748 | lrm: 1.00 | dt: 625ms | tok/sec: 838,930 | mfu: 23.5% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 5.915280 | lrm: 1.00 | dt: 625ms | tok/sec: 839,054 | mfu: 23.5% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 5.858659 | lrm: 1.00 | dt: 625ms | tok/sec: 838,790 | mfu: 23.5% | epoch: 1 | remaining: 293s    
step 00023 (2.5%) | loss: 5.808627 | lrm: 1.00 | dt: 625ms | tok/sec: 838,460 | mfu: 23.5% | epoch: 1 | remaining: 292s    
step 00024 (2.7%) | loss: 5.763478 | lrm: 1.00 | dt: 625ms | tok/sec: 838,722 | mfu: 23.5% | epoch: 1 | remaining: 291s    
step 00025 (2.9%) | loss: 5.723582 | lrm: 1.00 | dt: 625ms | tok/sec: 838,961 | mfu: 23.5% | epoch: 1 | remaining: 291s    
step 00026 (3.1%) | loss: 5.680553 | lrm: 1.00 | dt: 625ms | tok/sec: 838,684 | mfu: 23.5% | epoch: 1 | remaining: 290s    
step 00027 (3.3%) | loss: 5.643188 | lrm: 1.00 | dt: 625ms | tok/sec: 838,214 | mfu: 23.5% | epoch: 1 | remaining: 289s    
step 00028 (3.5%) | loss: 5.607932 | lrm: 1.00 | dt: 626ms | tok/sec: 837,231 | mfu: 23.4% | epoch: 1 | remaining: 289s    
step 00029 (3.7%) | loss: 5.574339 | lrm: 1.00 | dt: 626ms | tok/sec: 837,308 | mfu: 23.4% | epoch: 1 | remaining: 288s    
step 00030 (4.0%) | loss: 5.540589 | lrm: 1.00 | dt: 626ms | tok/sec: 837,381 | mfu: 23.4% | epoch: 1 | remaining: 287s    
step 00031 (4.2%) | loss: 5.504309 | lrm: 1.00 | dt: 626ms | tok/sec: 837,914 | mfu: 23.4% | epoch: 1 | remaining: 287s    
step 00032 (4.4%) | loss: 5.470736 | lrm: 1.00 | dt: 625ms | tok/sec: 838,277 | mfu: 23.5% | epoch: 1 | remaining: 286s    
step 00033 (4.6%) | loss: 5.436062 | lrm: 1.00 | dt: 625ms | tok/sec: 838,238 | mfu: 23.5% | epoch: 1 | remaining: 286s    
step 00034 (4.8%) | loss: 5.401225 | lrm: 1.00 | dt: 626ms | tok/sec: 837,852 | mfu: 23.4% | epoch: 1 | remaining: 285s    
step 00035 (5.0%) | loss: 5.368838 | lrm: 1.00 | dt: 625ms | tok/sec: 838,195 | mfu: 23.4% | epoch: 1 | remaining: 284s    
step 00036 (5.2%) | loss: 5.338474 | lrm: 1.00 | dt: 626ms | tok/sec: 838,064 | mfu: 23.4% | epoch: 1 | remaining: 284s    
