Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=75 binary=111110
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'sliding_window', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 2.894100e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 3123ms | tok/sec: 167,900 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191311 | lrm: 1.00 | dt: 765ms | tok/sec: 685,469 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.953292 | lrm: 1.00 | dt: 765ms | tok/sec: 685,341 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.524385 | lrm: 1.00 | dt: 765ms | tok/sec: 685,082 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.109373 | lrm: 1.00 | dt: 765ms | tok/sec: 684,940 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.732287 | lrm: 1.00 | dt: 766ms | tok/sec: 684,559 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.434104 | lrm: 1.00 | dt: 766ms | tok/sec: 684,553 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.188608 | lrm: 1.00 | dt: 766ms | tok/sec: 684,560 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.977076 | lrm: 1.00 | dt: 767ms | tok/sec: 683,735 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.792615 | lrm: 1.00 | dt: 766ms | tok/sec: 684,270 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.637171 | lrm: 1.00 | dt: 766ms | tok/sec: 684,124 | mfu: 20.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.503146 | lrm: 1.00 | dt: 767ms | tok/sec: 683,451 | mfu: 20.0% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.385778 | lrm: 1.00 | dt: 767ms | tok/sec: 683,934 | mfu: 20.0% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.286344 | lrm: 1.00 | dt: 767ms | tok/sec: 683,709 | mfu: 20.0% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.193046 | lrm: 1.00 | dt: 767ms | tok/sec: 683,385 | mfu: 20.0% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.113283 | lrm: 1.00 | dt: 767ms | tok/sec: 683,389 | mfu: 20.0% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.040887 | lrm: 1.00 | dt: 767ms | tok/sec: 683,392 | mfu: 20.0% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 5.974890 | lrm: 1.00 | dt: 767ms | tok/sec: 683,222 | mfu: 20.0% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 5.915365 | lrm: 1.00 | dt: 767ms | tok/sec: 683,307 | mfu: 20.0% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.863122 | lrm: 1.00 | dt: 768ms | tok/sec: 683,036 | mfu: 20.0% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.814864 | lrm: 1.00 | dt: 767ms | tok/sec: 683,181 | mfu: 20.0% | epoch: 1 | remaining: 292s    
step 00021 (2.6%) | loss: 5.768567 | lrm: 1.00 | dt: 767ms | tok/sec: 683,147 | mfu: 20.0% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 5.724585 | lrm: 1.00 | dt: 768ms | tok/sec: 682,619 | mfu: 20.0% | epoch: 1 | remaining: 291s    
step 00023 (3.1%) | loss: 5.684408 | lrm: 1.00 | dt: 768ms | tok/sec: 682,992 | mfu: 20.0% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 5.645231 | lrm: 1.00 | dt: 768ms | tok/sec: 682,594 | mfu: 20.0% | epoch: 1 | remaining: 289s    
step 00025 (3.6%) | loss: 5.607617 | lrm: 1.00 | dt: 768ms | tok/sec: 682,418 | mfu: 20.0% | epoch: 1 | remaining: 288s    
step 00026 (3.8%) | loss: 5.566660 | lrm: 1.00 | dt: 768ms | tok/sec: 682,893 | mfu: 20.0% | epoch: 1 | remaining: 288s    
step 00027 (4.1%) | loss: 5.531142 | lrm: 1.00 | dt: 768ms | tok/sec: 682,607 | mfu: 20.0% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.498085 | lrm: 1.00 | dt: 768ms | tok/sec: 682,791 | mfu: 20.0% | epoch: 1 | remaining: 286s    
step 00029 (4.6%) | loss: 5.466945 | lrm: 1.00 | dt: 768ms | tok/sec: 682,450 | mfu: 20.0% | epoch: 1 | remaining: 285s    
step 00030 (4.9%) | loss: 5.434008 | lrm: 1.00 | dt: 768ms | tok/sec: 682,781 | mfu: 20.0% | epoch: 1 | remaining: 285s    
step 00031 (5.1%) | loss: 5.400903 | lrm: 1.00 | dt: 768ms | tok/sec: 682,322 | mfu: 20.0% | epoch: 1 | remaining: 284s    
step 00032 (5.4%) | loss: 5.369643 | lrm: 1.00 | dt: 770ms | tok/sec: 681,250 | mfu: 19.9% | epoch: 1 | remaining: 283s    
step 00033 (5.6%) | loss: 5.336370 | lrm: 1.00 | dt: 769ms | tok/sec: 681,653 | mfu: 19.9% | epoch: 1 | remaining: 282s    
step 00034 (5.9%) | loss: 5.301027 | lrm: 1.00 | dt: 770ms | tok/sec: 681,155 | mfu: 19.9% | epoch: 1 | remaining: 282s    
step 00035 (6.1%) | loss: 5.268256 | lrm: 1.00 | dt: 769ms | tok/sec: 681,340 | mfu: 19.9% | epoch: 1 | remaining: 281s    
step 00036 (6.4%) | loss: 5.239784 | lrm: 1.00 | dt: 769ms | tok/sec: 681,527 | mfu: 19.9% | epoch: 1 | remaining: 280s    
step 00037 (6.7%) | loss: 5.209715 | lrm: 1.00 | dt: 769ms | tok/sec: 681,914 | mfu: 19.9% | epoch: 1 | remaining: 279s    
step 00038 (6.9%) | loss: 5.180168 | lrm: 1.00 | dt: 770ms | tok/sec: 681,026 | mfu: 19.9% | epoch: 1 | remaining: 278s    
step 00039 (7.2%) | loss: 5.146380 | lrm: 1.00 | dt: 769ms | tok/sec: 682,199 | mfu: 20.0% | epoch: 1 | remaining: 278s    
