Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=58 binary=110010
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.390753e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 2955ms | tok/sec: 177,429 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185896 | lrm: 1.00 | dt: 638ms | tok/sec: 821,873 | mfu: 19.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.158705 | lrm: 1.00 | dt: 638ms | tok/sec: 821,638 | mfu: 19.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.844320 | lrm: 1.00 | dt: 638ms | tok/sec: 821,650 | mfu: 19.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.534235 | lrm: 1.00 | dt: 638ms | tok/sec: 821,556 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.202665 | lrm: 1.00 | dt: 638ms | tok/sec: 821,262 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.911681 | lrm: 1.00 | dt: 639ms | tok/sec: 821,039 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.660818 | lrm: 1.00 | dt: 639ms | tok/sec: 820,311 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.435754 | lrm: 1.00 | dt: 639ms | tok/sec: 820,730 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.223313 | lrm: 1.00 | dt: 639ms | tok/sec: 820,741 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.034662 | lrm: 1.00 | dt: 639ms | tok/sec: 820,520 | mfu: 19.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.867026 | lrm: 1.00 | dt: 639ms | tok/sec: 820,467 | mfu: 19.8% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.717503 | lrm: 1.00 | dt: 639ms | tok/sec: 820,397 | mfu: 19.8% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.583065 | lrm: 1.00 | dt: 639ms | tok/sec: 820,351 | mfu: 19.8% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.468255 | lrm: 1.00 | dt: 639ms | tok/sec: 820,456 | mfu: 19.8% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 6.362992 | lrm: 1.00 | dt: 639ms | tok/sec: 820,085 | mfu: 19.8% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 6.267007 | lrm: 1.00 | dt: 639ms | tok/sec: 819,917 | mfu: 19.8% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 6.179573 | lrm: 1.00 | dt: 640ms | tok/sec: 819,737 | mfu: 19.8% | epoch: 1 | remaining: 296s    
step 00018 (1.5%) | loss: 6.101131 | lrm: 1.00 | dt: 640ms | tok/sec: 819,209 | mfu: 19.8% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.032020 | lrm: 1.00 | dt: 640ms | tok/sec: 819,632 | mfu: 19.8% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 5.969998 | lrm: 1.00 | dt: 640ms | tok/sec: 819,708 | mfu: 19.8% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 5.912773 | lrm: 1.00 | dt: 640ms | tok/sec: 819,794 | mfu: 19.8% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 5.862218 | lrm: 1.00 | dt: 640ms | tok/sec: 819,377 | mfu: 19.8% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 5.816394 | lrm: 1.00 | dt: 640ms | tok/sec: 819,330 | mfu: 19.8% | epoch: 1 | remaining: 292s    
step 00024 (2.8%) | loss: 5.774272 | lrm: 1.00 | dt: 640ms | tok/sec: 819,556 | mfu: 19.8% | epoch: 1 | remaining: 291s    
step 00025 (3.0%) | loss: 5.734256 | lrm: 1.00 | dt: 640ms | tok/sec: 819,307 | mfu: 19.8% | epoch: 1 | remaining: 290s    
step 00026 (3.2%) | loss: 5.694656 | lrm: 1.00 | dt: 640ms | tok/sec: 818,859 | mfu: 19.8% | epoch: 1 | remaining: 290s    
step 00027 (3.4%) | loss: 5.661246 | lrm: 1.00 | dt: 640ms | tok/sec: 819,192 | mfu: 19.8% | epoch: 1 | remaining: 289s    
step 00028 (3.6%) | loss: 5.630070 | lrm: 1.00 | dt: 640ms | tok/sec: 819,084 | mfu: 19.8% | epoch: 1 | remaining: 288s    
step 00029 (3.8%) | loss: 5.602795 | lrm: 1.00 | dt: 640ms | tok/sec: 819,337 | mfu: 19.8% | epoch: 1 | remaining: 288s    
step 00030 (4.1%) | loss: 5.576740 | lrm: 1.00 | dt: 640ms | tok/sec: 819,173 | mfu: 19.8% | epoch: 1 | remaining: 287s    
step 00031 (4.3%) | loss: 5.550485 | lrm: 1.00 | dt: 640ms | tok/sec: 819,448 | mfu: 19.8% | epoch: 1 | remaining: 287s    
step 00032 (4.5%) | loss: 5.527317 | lrm: 1.00 | dt: 640ms | tok/sec: 819,076 | mfu: 19.8% | epoch: 1 | remaining: 286s    
step 00033 (4.7%) | loss: 5.503308 | lrm: 1.00 | dt: 640ms | tok/sec: 818,674 | mfu: 19.8% | epoch: 1 | remaining: 285s    
step 00034 (4.9%) | loss: 5.477643 | lrm: 1.00 | dt: 640ms | tok/sec: 818,945 | mfu: 19.8% | epoch: 1 | remaining: 285s    
step 00035 (5.1%) | loss: 5.455974 | lrm: 1.00 | dt: 640ms | tok/sec: 818,974 | mfu: 19.8% | epoch: 1 | remaining: 284s    
step 00036 (5.3%) | loss: 5.439064 | lrm: 1.00 | dt: 640ms | tok/sec: 818,910 | mfu: 19.8% | epoch: 1 | remaining: 283s    
