Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=32 binary=010000
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.390753e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2638ms | tok/sec: 198,753 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854863 | lrm: 1.00 | dt: 565ms | tok/sec: 928,500 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.445493 | lrm: 1.00 | dt: 565ms | tok/sec: 928,726 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.979638 | lrm: 1.00 | dt: 565ms | tok/sec: 928,666 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.586971 | lrm: 1.00 | dt: 566ms | tok/sec: 926,962 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.251987 | lrm: 1.00 | dt: 566ms | tok/sec: 926,999 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.001679 | lrm: 1.00 | dt: 565ms | tok/sec: 927,145 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.793691 | lrm: 1.00 | dt: 565ms | tok/sec: 927,480 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.616944 | lrm: 1.00 | dt: 567ms | tok/sec: 924,784 | mfu: 22.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.465532 | lrm: 1.00 | dt: 566ms | tok/sec: 926,886 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.337550 | lrm: 1.00 | dt: 565ms | tok/sec: 927,415 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.230893 | lrm: 1.00 | dt: 567ms | tok/sec: 924,180 | mfu: 22.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.135491 | lrm: 1.00 | dt: 567ms | tok/sec: 925,010 | mfu: 22.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.049812 | lrm: 1.00 | dt: 566ms | tok/sec: 927,064 | mfu: 22.4% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.977425 | lrm: 1.00 | dt: 567ms | tok/sec: 924,020 | mfu: 22.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.911744 | lrm: 1.00 | dt: 567ms | tok/sec: 924,061 | mfu: 22.3% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 5.852686 | lrm: 1.00 | dt: 566ms | tok/sec: 926,162 | mfu: 22.4% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.798972 | lrm: 1.00 | dt: 568ms | tok/sec: 923,192 | mfu: 22.3% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.751875 | lrm: 1.00 | dt: 567ms | tok/sec: 925,437 | mfu: 22.4% | epoch: 1 | remaining: 295s    
step 00019 (1.5%) | loss: 5.708815 | lrm: 1.00 | dt: 566ms | tok/sec: 926,204 | mfu: 22.4% | epoch: 1 | remaining: 295s    
step 00020 (1.7%) | loss: 5.669550 | lrm: 1.00 | dt: 568ms | tok/sec: 923,206 | mfu: 22.3% | epoch: 1 | remaining: 294s    
step 00021 (1.9%) | loss: 5.634668 | lrm: 1.00 | dt: 567ms | tok/sec: 925,346 | mfu: 22.4% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.602812 | lrm: 1.00 | dt: 567ms | tok/sec: 924,652 | mfu: 22.3% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.571083 | lrm: 1.00 | dt: 568ms | tok/sec: 922,393 | mfu: 22.3% | epoch: 1 | remaining: 293s    
step 00024 (2.5%) | loss: 5.541066 | lrm: 1.00 | dt: 566ms | tok/sec: 925,541 | mfu: 22.4% | epoch: 1 | remaining: 292s    
step 00025 (2.6%) | loss: 5.515439 | lrm: 1.00 | dt: 569ms | tok/sec: 921,997 | mfu: 22.3% | epoch: 1 | remaining: 291s    
step 00026 (2.8%) | loss: 5.487287 | lrm: 1.00 | dt: 568ms | tok/sec: 923,138 | mfu: 22.3% | epoch: 1 | remaining: 291s    
step 00027 (3.0%) | loss: 5.464807 | lrm: 1.00 | dt: 567ms | tok/sec: 924,092 | mfu: 22.3% | epoch: 1 | remaining: 290s    
step 00028 (3.2%) | loss: 5.444696 | lrm: 1.00 | dt: 569ms | tok/sec: 921,736 | mfu: 22.3% | epoch: 1 | remaining: 290s    
step 00029 (3.4%) | loss: 5.426440 | lrm: 1.00 | dt: 567ms | tok/sec: 925,319 | mfu: 22.4% | epoch: 1 | remaining: 289s    
step 00030 (3.6%) | loss: 5.406042 | lrm: 1.00 | dt: 569ms | tok/sec: 922,059 | mfu: 22.3% | epoch: 1 | remaining: 289s    
step 00031 (3.8%) | loss: 5.386356 | lrm: 1.00 | dt: 568ms | tok/sec: 922,573 | mfu: 22.3% | epoch: 1 | remaining: 288s    
step 00032 (4.0%) | loss: 5.368422 | lrm: 1.00 | dt: 567ms | tok/sec: 924,101 | mfu: 22.3% | epoch: 1 | remaining: 288s    
step 00033 (4.2%) | loss: 5.348671 | lrm: 1.00 | dt: 569ms | tok/sec: 921,025 | mfu: 22.3% | epoch: 1 | remaining: 287s    
step 00034 (4.4%) | loss: 5.327013 | lrm: 1.00 | dt: 567ms | tok/sec: 924,248 | mfu: 22.3% | epoch: 1 | remaining: 286s    
step 00035 (4.5%) | loss: 5.309321 | lrm: 1.00 | dt: 570ms | tok/sec: 920,109 | mfu: 22.2% | epoch: 1 | remaining: 286s    
step 00036 (4.7%) | loss: 5.296893 | lrm: 1.00 | dt: 568ms | tok/sec: 923,178 | mfu: 22.3% | epoch: 1 | remaining: 285s    
