Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=3 binary=001010
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 3.271557e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2975ms | tok/sec: 176,238 | mfu: 5.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853443 | lrm: 1.00 | dt: 695ms | tok/sec: 754,799 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.462376 | lrm: 1.00 | dt: 695ms | tok/sec: 754,261 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.008212 | lrm: 1.00 | dt: 695ms | tok/sec: 754,289 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.605415 | lrm: 1.00 | dt: 696ms | tok/sec: 753,527 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.269105 | lrm: 1.00 | dt: 695ms | tok/sec: 754,193 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.016724 | lrm: 1.00 | dt: 696ms | tok/sec: 753,141 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.809651 | lrm: 1.00 | dt: 696ms | tok/sec: 752,954 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.633164 | lrm: 1.00 | dt: 697ms | tok/sec: 752,655 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.481647 | lrm: 1.00 | dt: 697ms | tok/sec: 751,970 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.356807 | lrm: 1.00 | dt: 697ms | tok/sec: 752,595 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.249899 | lrm: 1.00 | dt: 696ms | tok/sec: 752,880 | mfu: 24.9% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.156895 | lrm: 1.00 | dt: 697ms | tok/sec: 752,365 | mfu: 24.9% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.078398 | lrm: 1.00 | dt: 697ms | tok/sec: 752,298 | mfu: 24.9% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.003399 | lrm: 1.00 | dt: 698ms | tok/sec: 750,819 | mfu: 24.8% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.940331 | lrm: 1.00 | dt: 698ms | tok/sec: 751,403 | mfu: 24.8% | epoch: 1 | remaining: 297s    
step 00016 (1.2%) | loss: 5.883038 | lrm: 1.00 | dt: 699ms | tok/sec: 750,233 | mfu: 24.8% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.831598 | lrm: 1.00 | dt: 699ms | tok/sec: 750,483 | mfu: 24.8% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.785770 | lrm: 1.00 | dt: 698ms | tok/sec: 751,396 | mfu: 24.8% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 5.746236 | lrm: 1.00 | dt: 698ms | tok/sec: 750,844 | mfu: 24.8% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.710226 | lrm: 1.00 | dt: 698ms | tok/sec: 751,136 | mfu: 24.8% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 5.675639 | lrm: 1.00 | dt: 698ms | tok/sec: 750,908 | mfu: 24.8% | epoch: 1 | remaining: 292s    
step 00022 (2.6%) | loss: 5.642665 | lrm: 1.00 | dt: 699ms | tok/sec: 750,253 | mfu: 24.8% | epoch: 1 | remaining: 292s    
step 00023 (2.8%) | loss: 5.613659 | lrm: 1.00 | dt: 699ms | tok/sec: 750,112 | mfu: 24.8% | epoch: 1 | remaining: 291s    
step 00024 (3.0%) | loss: 5.586542 | lrm: 1.00 | dt: 699ms | tok/sec: 749,705 | mfu: 24.8% | epoch: 1 | remaining: 290s    
step 00025 (3.3%) | loss: 5.561073 | lrm: 1.00 | dt: 698ms | tok/sec: 750,871 | mfu: 24.8% | epoch: 1 | remaining: 290s    
step 00026 (3.5%) | loss: 5.533714 | lrm: 1.00 | dt: 699ms | tok/sec: 749,714 | mfu: 24.8% | epoch: 1 | remaining: 289s    
step 00027 (3.7%) | loss: 5.511150 | lrm: 1.00 | dt: 699ms | tok/sec: 749,534 | mfu: 24.8% | epoch: 1 | remaining: 288s    
step 00028 (4.0%) | loss: 5.488872 | lrm: 1.00 | dt: 700ms | tok/sec: 749,515 | mfu: 24.8% | epoch: 1 | remaining: 287s    
step 00029 (4.2%) | loss: 5.468294 | lrm: 1.00 | dt: 701ms | tok/sec: 748,182 | mfu: 24.7% | epoch: 1 | remaining: 287s    
step 00030 (4.4%) | loss: 5.446112 | lrm: 1.00 | dt: 700ms | tok/sec: 749,292 | mfu: 24.8% | epoch: 1 | remaining: 286s    
step 00031 (4.7%) | loss: 5.423433 | lrm: 1.00 | dt: 700ms | tok/sec: 748,624 | mfu: 24.8% | epoch: 1 | remaining: 285s    
step 00032 (4.9%) | loss: 5.406920 | lrm: 1.00 | dt: 700ms | tok/sec: 748,696 | mfu: 24.8% | epoch: 1 | remaining: 285s    
step 00033 (5.1%) | loss: 5.387644 | lrm: 1.00 | dt: 700ms | tok/sec: 748,800 | mfu: 24.8% | epoch: 1 | remaining: 284s    
step 00034 (5.4%) | loss: 5.363738 | lrm: 1.00 | dt: 700ms | tok/sec: 749,020 | mfu: 24.8% | epoch: 1 | remaining: 283s    
step 00035 (5.6%) | loss: 5.343267 | lrm: 1.00 | dt: 700ms | tok/sec: 749,085 | mfu: 24.8% | epoch: 1 | remaining: 283s    
step 00036 (5.8%) | loss: 5.329323 | lrm: 1.00 | dt: 701ms | tok/sec: 748,443 | mfu: 24.7% | epoch: 1 | remaining: 282s    
step 00037 (6.1%) | loss: 5.309959 | lrm: 1.00 | dt: 700ms | tok/sec: 749,134 | mfu: 24.8% | epoch: 1 | remaining: 281s    
step 00038 (6.3%) | loss: 5.289994 | lrm: 1.00 | dt: 701ms | tok/sec: 748,332 | mfu: 24.7% | epoch: 1 | remaining: 280s    
step 00039 (6.5%) | loss: 5.266815 | lrm: 1.00 | dt: 701ms | tok/sec: 747,657 | mfu: 24.7% | epoch: 1 | remaining: 280s    
step 00040 (6.8%) | loss: 5.244949 | lrm: 1.00 | dt: 702ms | tok/sec: 747,050 | mfu: 24.7% | epoch: 1 | remaining: 279s    
step 00041 (7.0%) | loss: 5.226645 | lrm: 1.00 | dt: 702ms | tok/sec: 747,353 | mfu: 24.7% | epoch: 1 | remaining: 278s    
step 00042 (7.2%) | loss: 5.210357 | lrm: 1.00 | dt: 702ms | tok/sec: 747,003 | mfu: 24.7% | epoch: 1 | remaining: 278s    
step 00043 (7.5%) | loss: 5.187181 | lrm: 1.00 | dt: 701ms | tok/sec: 747,634 | mfu: 24.7% | epoch: 1 | remaining: 277s    
step 00044 (7.7%) | loss: 5.165591 | lrm: 1.00 | dt: 702ms | tok/sec: 747,015 | mfu: 24.7% | epoch: 1 | remaining: 276s    
step 00045 (7.9%) | loss: 5.145637 | lrm: 1.00 | dt: 703ms | tok/sec: 745,683 | mfu: 24.7% | epoch: 1 | remaining: 276s    
step 00046 (8.2%) | loss: 5.128164 | lrm: 1.00 | dt: 703ms | tok/sec: 745,950 | mfu: 24.7% | epoch: 1 | remaining: 275s    
step 00047 (8.4%) | loss: 5.106808 | lrm: 1.00 | dt: 703ms | tok/sec: 745,687 | mfu: 24.7% | epoch: 1 | remaining: 274s    
step 00048 (8.6%) | loss: 5.088677 | lrm: 1.00 | dt: 702ms | tok/sec: 746,478 | mfu: 24.7% | epoch: 1 | remaining: 273s    
step 00049 (8.9%) | loss: 5.067448 | lrm: 1.00 | dt: 703ms | tok/sec: 746,178 | mfu: 24.7% | epoch: 1 | remaining: 273s    
step 00050 (9.1%) | loss: 5.044666 | lrm: 1.00 | dt: 703ms | tok/sec: 745,536 | mfu: 24.6% | epoch: 1 | remaining: 272s    
step 00051 (9.3%) | loss: 5.029108 | lrm: 1.00 | dt: 704ms | tok/sec: 745,116 | mfu: 24.6% | epoch: 1 | remaining: 271s    
step 00052 (9.6%) | loss: 5.009721 | lrm: 1.00 | dt: 704ms | tok/sec: 744,439 | mfu: 24.6% | epoch: 1 | remaining: 271s    
step 00053 (9.8%) | loss: 4.992300 | lrm: 1.00 | dt: 704ms | tok/sec: 745,151 | mfu: 24.6% | epoch: 1 | remaining: 270s    
step 00054 (10.0%) | loss: 4.973693 | lrm: 1.00 | dt: 704ms | tok/sec: 744,526 | mfu: 24.6% | epoch: 1 | remaining: 269s    
step 00055 (10.3%) | loss: 4.953015 | lrm: 1.00 | dt: 704ms | tok/sec: 744,572 | mfu: 24.6% | epoch: 1 | remaining: 268s    
step 00056 (10.5%) | loss: 4.935867 | lrm: 1.00 | dt: 704ms | tok/sec: 744,262 | mfu: 24.6% | epoch: 1 | remaining: 268s    
step 00057 (10.7%) | loss: 4.916549 | lrm: 1.00 | dt: 705ms | tok/sec: 744,191 | mfu: 24.6% | epoch: 1 | remaining: 267s    
step 00058 (11.0%) | loss: 4.898237 | lrm: 1.00 | dt: 704ms | tok/sec: 744,712 | mfu: 24.6% | epoch: 1 | remaining: 266s    
step 00059 (11.2%) | loss: 4.875497 | lrm: 1.00 | dt: 705ms | tok/sec: 743,638 | mfu: 24.6% | epoch: 1 | remaining: 266s    
step 00060 (11.4%) | loss: 4.858250 | lrm: 1.00 | dt: 705ms | tok/sec: 743,827 | mfu: 24.6% | epoch: 1 | remaining: 265s    
step 00061 (11.7%) | loss: 4.845827 | lrm: 1.00 | dt: 705ms | tok/sec: 743,474 | mfu: 24.6% | epoch: 1 | remaining: 264s    
step 00062 (11.9%) | loss: 4.829007 | lrm: 1.00 | dt: 705ms | tok/sec: 743,852 | mfu: 24.6% | epoch: 1 | remaining: 264s    
step 00063 (12.2%) | loss: 4.809863 | lrm: 1.00 | dt: 705ms | tok/sec: 743,872 | mfu: 24.6% | epoch: 1 | remaining: 263s    
step 00064 (12.4%) | loss: 4.791710 | lrm: 1.00 | dt: 705ms | tok/sec: 743,255 | mfu: 24.6% | epoch: 1 | remaining: 262s    
step 00065 (12.6%) | loss: 4.775669 | lrm: 1.00 | dt: 705ms | tok/sec: 743,376 | mfu: 24.6% | epoch: 1 | remaining: 261s    
step 00066 (12.9%) | loss: 4.760000 | lrm: 1.00 | dt: 705ms | tok/sec: 744,148 | mfu: 24.6% | epoch: 1 | remaining: 261s    
step 00067 (13.1%) | loss: 4.743400 | lrm: 1.00 | dt: 706ms | tok/sec: 742,752 | mfu: 24.6% | epoch: 1 | remaining: 260s    
step 00068 (13.3%) | loss: 4.726028 | lrm: 1.00 | dt: 706ms | tok/sec: 743,037 | mfu: 24.6% | epoch: 1 | remaining: 259s    
step 00069 (13.6%) | loss: 4.705188 | lrm: 1.00 | dt: 706ms | tok/sec: 742,885 | mfu: 24.6% | epoch: 1 | remaining: 259s    
