Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=33 binary=110100
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 14009ms | tok/sec: 37,424 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185856 | lrm: 1.00 | dt: 622ms | tok/sec: 842,626 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.144770 | lrm: 1.00 | dt: 622ms | tok/sec: 842,692 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.810644 | lrm: 1.00 | dt: 622ms | tok/sec: 842,808 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.499938 | lrm: 1.00 | dt: 622ms | tok/sec: 842,826 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.189357 | lrm: 1.00 | dt: 622ms | tok/sec: 842,382 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.913347 | lrm: 1.00 | dt: 622ms | tok/sec: 842,305 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.675686 | lrm: 1.00 | dt: 623ms | tok/sec: 842,049 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.455662 | lrm: 1.00 | dt: 623ms | tok/sec: 841,512 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.241499 | lrm: 1.00 | dt: 623ms | tok/sec: 841,728 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.053611 | lrm: 1.00 | dt: 623ms | tok/sec: 841,824 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.886885 | lrm: 1.00 | dt: 623ms | tok/sec: 841,918 | mfu: 20.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.735236 | lrm: 1.00 | dt: 623ms | tok/sec: 841,722 | mfu: 20.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.597969 | lrm: 1.00 | dt: 623ms | tok/sec: 841,738 | mfu: 20.3% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.480411 | lrm: 1.00 | dt: 623ms | tok/sec: 841,694 | mfu: 20.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.373687 | lrm: 1.00 | dt: 623ms | tok/sec: 841,622 | mfu: 20.3% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.277052 | lrm: 1.00 | dt: 623ms | tok/sec: 841,460 | mfu: 20.3% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.188628 | lrm: 1.00 | dt: 623ms | tok/sec: 840,880 | mfu: 20.3% | epoch: 1 | remaining: 296s    
step 00018 (1.5%) | loss: 6.108656 | lrm: 1.00 | dt: 623ms | tok/sec: 841,178 | mfu: 20.3% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.039783 | lrm: 1.00 | dt: 623ms | tok/sec: 841,120 | mfu: 20.3% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 5.975622 | lrm: 1.00 | dt: 623ms | tok/sec: 840,922 | mfu: 20.3% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 5.917778 | lrm: 1.00 | dt: 624ms | tok/sec: 840,512 | mfu: 20.3% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 5.864679 | lrm: 1.00 | dt: 624ms | tok/sec: 840,486 | mfu: 20.3% | epoch: 1 | remaining: 293s    
step 00023 (2.5%) | loss: 5.815015 | lrm: 1.00 | dt: 624ms | tok/sec: 840,104 | mfu: 20.3% | epoch: 1 | remaining: 292s    
step 00024 (2.7%) | loss: 6.179823 | lrm: 1.00 | dt: 624ms | tok/sec: 840,631 | mfu: 20.3% | epoch: 1 | remaining: 291s    
step 00025 (2.9%) | loss: 6.100791 | lrm: 1.00 | dt: 624ms | tok/sec: 840,505 | mfu: 20.3% | epoch: 1 | remaining: 291s    
step 00026 (3.1%) | loss: 6.024492 | lrm: 1.00 | dt: 624ms | tok/sec: 840,463 | mfu: 20.3% | epoch: 1 | remaining: 290s    
step 00027 (3.3%) | loss: 5.954185 | lrm: 1.00 | dt: 624ms | tok/sec: 840,091 | mfu: 20.3% | epoch: 1 | remaining: 289s    
step 00028 (3.5%) | loss: 5.888976 | lrm: 1.00 | dt: 624ms | tok/sec: 840,024 | mfu: 20.3% | epoch: 1 | remaining: 289s    
step 00029 (3.7%) | loss: 5.827058 | lrm: 1.00 | dt: 624ms | tok/sec: 840,160 | mfu: 20.3% | epoch: 1 | remaining: 288s    
step 00030 (3.9%) | loss: 5.769959 | lrm: 1.00 | dt: 624ms | tok/sec: 840,121 | mfu: 20.3% | epoch: 1 | remaining: 288s    
step 00031 (4.2%) | loss: 5.712945 | lrm: 1.00 | dt: 624ms | tok/sec: 839,722 | mfu: 20.3% | epoch: 1 | remaining: 287s    
step 00032 (4.4%) | loss: 5.661053 | lrm: 1.00 | dt: 624ms | tok/sec: 839,849 | mfu: 20.3% | epoch: 1 | remaining: 286s    
step 00033 (4.6%) | loss: 5.664594 | lrm: 1.00 | dt: 624ms | tok/sec: 839,625 | mfu: 20.3% | epoch: 1 | remaining: 286s    
step 00034 (4.8%) | loss: 5.609127 | lrm: 1.00 | dt: 625ms | tok/sec: 839,323 | mfu: 20.3% | epoch: 1 | remaining: 285s    
step 00035 (5.0%) | loss: 5.558950 | lrm: 1.00 | dt: 624ms | tok/sec: 839,701 | mfu: 20.3% | epoch: 1 | remaining: 284s    
step 00036 (5.2%) | loss: 5.513106 | lrm: 1.00 | dt: 624ms | tok/sec: 839,554 | mfu: 20.3% | epoch: 1 | remaining: 284s    
step 00037 (5.4%) | loss: 5.466925 | lrm: 1.00 | dt: 625ms | tok/sec: 838,756 | mfu: 20.3% | epoch: 1 | remaining: 283s    
step 00038 (5.6%) | loss: 5.423348 | lrm: 1.00 | dt: 626ms | tok/sec: 837,967 | mfu: 20.2% | epoch: 1 | remaining: 283s    
step 00039 (5.8%) | loss: 5.378114 | lrm: 1.00 | dt: 624ms | tok/sec: 839,541 | mfu: 20.3% | epoch: 1 | remaining: 282s    
step 00040 (6.0%) | loss: 5.336137 | lrm: 1.00 | dt: 624ms | tok/sec: 839,584 | mfu: 20.3% | epoch: 1 | remaining: 281s    
step 00041 (6.2%) | loss: 5.298923 | lrm: 1.00 | dt: 625ms | tok/sec: 839,499 | mfu: 20.3% | epoch: 1 | remaining: 281s    
step 00042 (6.4%) | loss: 5.263104 | lrm: 1.00 | dt: 625ms | tok/sec: 839,336 | mfu: 20.3% | epoch: 1 | remaining: 280s    
step 00043 (6.7%) | loss: 5.224867 | lrm: 1.00 | dt: 625ms | tok/sec: 839,286 | mfu: 20.3% | epoch: 1 | remaining: 279s    
step 00044 (6.9%) | loss: 5.191286 | lrm: 1.00 | dt: 625ms | tok/sec: 839,179 | mfu: 20.3% | epoch: 1 | remaining: 279s    
step 00045 (7.1%) | loss: 5.159337 | lrm: 1.00 | dt: 625ms | tok/sec: 838,848 | mfu: 20.3% | epoch: 1 | remaining: 278s    
step 00046 (7.3%) | loss: 5.125837 | lrm: 1.00 | dt: 625ms | tok/sec: 839,035 | mfu: 20.3% | epoch: 1 | remaining: 278s    
step 00047 (7.5%) | loss: 5.089248 | lrm: 1.00 | dt: 625ms | tok/sec: 839,137 | mfu: 20.3% | epoch: 1 | remaining: 277s    
step 00048 (7.7%) | loss: 5.058638 | lrm: 1.00 | dt: 625ms | tok/sec: 839,216 | mfu: 20.3% | epoch: 1 | remaining: 276s    
step 00049 (7.9%) | loss: 5.027589 | lrm: 1.00 | dt: 625ms | tok/sec: 838,838 | mfu: 20.3% | epoch: 1 | remaining: 276s    
step 00050 (8.1%) | loss: 4.994584 | lrm: 1.00 | dt: 625ms | tok/sec: 838,928 | mfu: 20.3% | epoch: 1 | remaining: 275s    
step 00051 (8.3%) | loss: 4.969203 | lrm: 1.00 | dt: 625ms | tok/sec: 838,869 | mfu: 20.3% | epoch: 1 | remaining: 274s    
step 00052 (8.5%) | loss: 4.940137 | lrm: 1.00 | dt: 625ms | tok/sec: 838,986 | mfu: 20.3% | epoch: 1 | remaining: 274s    
step 00053 (8.7%) | loss: 4.912764 | lrm: 1.00 | dt: 625ms | tok/sec: 838,841 | mfu: 20.3% | epoch: 1 | remaining: 273s    
step 00054 (8.9%) | loss: 4.886187 | lrm: 1.00 | dt: 625ms | tok/sec: 839,033 | mfu: 20.3% | epoch: 1 | remaining: 273s    
step 00055 (9.2%) | loss: 4.859727 | lrm: 1.00 | dt: 625ms | tok/sec: 838,677 | mfu: 20.3% | epoch: 1 | remaining: 272s    
step 00056 (9.4%) | loss: 4.834509 | lrm: 1.00 | dt: 625ms | tok/sec: 838,889 | mfu: 20.3% | epoch: 1 | remaining: 271s    
step 00057 (9.6%) | loss: 4.807417 | lrm: 1.00 | dt: 625ms | tok/sec: 838,657 | mfu: 20.3% | epoch: 1 | remaining: 271s    
step 00058 (9.8%) | loss: 4.783369 | lrm: 1.00 | dt: 625ms | tok/sec: 838,507 | mfu: 20.3% | epoch: 1 | remaining: 270s    
step 00059 (10.0%) | loss: 4.753830 | lrm: 1.00 | dt: 626ms | tok/sec: 838,107 | mfu: 20.2% | epoch: 1 | remaining: 269s    
step 00060 (10.2%) | loss: 4.730279 | lrm: 1.00 | dt: 625ms | tok/sec: 838,749 | mfu: 20.3% | epoch: 1 | remaining: 269s    
step 00061 (10.4%) | loss: 4.709716 | lrm: 1.00 | dt: 625ms | tok/sec: 838,578 | mfu: 20.3% | epoch: 1 | remaining: 268s    
step 00062 (10.6%) | loss: 4.684462 | lrm: 1.00 | dt: 625ms | tok/sec: 838,357 | mfu: 20.3% | epoch: 1 | remaining: 268s    
step 00063 (10.8%) | loss: 4.659721 | lrm: 1.00 | dt: 625ms | tok/sec: 838,197 | mfu: 20.3% | epoch: 1 | remaining: 267s    
step 00064 (11.0%) | loss: 4.636906 | lrm: 1.00 | dt: 626ms | tok/sec: 837,971 | mfu: 20.2% | epoch: 1 | remaining: 266s    
step 00065 (11.2%) | loss: 4.615238 | lrm: 1.00 | dt: 626ms | tok/sec: 837,418 | mfu: 20.2% | epoch: 1 | remaining: 266s    
step 00066 (11.4%) | loss: 4.595974 | lrm: 1.00 | dt: 626ms | tok/sec: 838,044 | mfu: 20.2% | epoch: 1 | remaining: 265s    
step 00067 (11.7%) | loss: 4.575485 | lrm: 1.00 | dt: 626ms | tok/sec: 837,377 | mfu: 20.2% | epoch: 1 | remaining: 264s    
step 00068 (11.9%) | loss: 4.556051 | lrm: 1.00 | dt: 626ms | tok/sec: 837,698 | mfu: 20.2% | epoch: 1 | remaining: 264s    
step 00069 (12.1%) | loss: 4.532788 | lrm: 1.00 | dt: 626ms | tok/sec: 837,590 | mfu: 20.2% | epoch: 1 | remaining: 263s    
step 00070 (12.3%) | loss: 4.508145 | lrm: 1.00 | dt: 626ms | tok/sec: 837,704 | mfu: 20.2% | epoch: 1 | remaining: 263s    
step 00071 (12.5%) | loss: 4.479837 | lrm: 1.00 | dt: 626ms | tok/sec: 837,278 | mfu: 20.2% | epoch: 1 | remaining: 262s    
step 00072 (12.7%) | loss: 4.464117 | lrm: 1.00 | dt: 626ms | tok/sec: 837,019 | mfu: 20.2% | epoch: 1 | remaining: 261s    
step 00073 (12.9%) | loss: 4.444737 | lrm: 1.00 | dt: 626ms | tok/sec: 837,061 | mfu: 20.2% | epoch: 1 | remaining: 261s    
step 00074 (13.1%) | loss: 4.422495 | lrm: 1.00 | dt: 626ms | tok/sec: 838,057 | mfu: 20.2% | epoch: 1 | remaining: 260s    
step 00075 (13.3%) | loss: 4.403068 | lrm: 1.00 | dt: 626ms | tok/sec: 837,628 | mfu: 20.2% | epoch: 1 | remaining: 259s    
step 00076 (13.5%) | loss: 4.386992 | lrm: 1.00 | dt: 626ms | tok/sec: 837,654 | mfu: 20.2% | epoch: 1 | remaining: 259s    
step 00077 (13.7%) | loss: 4.373366 | lrm: 1.00 | dt: 626ms | tok/sec: 837,718 | mfu: 20.2% | epoch: 1 | remaining: 258s    
step 00078 (14.0%) | loss: 4.352852 | lrm: 1.00 | dt: 626ms | tok/sec: 837,379 | mfu: 20.2% | epoch: 1 | remaining: 258s    
step 00079 (14.2%) | loss: 4.332552 | lrm: 1.00 | dt: 626ms | tok/sec: 837,404 | mfu: 20.2% | epoch: 1 | remaining: 257s    
step 00080 (14.4%) | loss: 4.315573 | lrm: 1.00 | dt: 626ms | tok/sec: 836,943 | mfu: 20.2% | epoch: 1 | remaining: 256s    
step 00081 (14.6%) | loss: 4.299024 | lrm: 1.00 | dt: 627ms | tok/sec: 836,762 | mfu: 20.2% | epoch: 1 | remaining: 256s    
step 00082 (14.8%) | loss: 4.283847 | lrm: 1.00 | dt: 626ms | tok/sec: 837,333 | mfu: 20.2% | epoch: 1 | remaining: 255s    
step 00083 (15.0%) | loss: 4.263840 | lrm: 1.00 | dt: 626ms | tok/sec: 837,062 | mfu: 20.2% | epoch: 1 | remaining: 254s    
step 00084 (15.2%) | loss: 4.243254 | lrm: 1.00 | dt: 626ms | tok/sec: 837,183 | mfu: 20.2% | epoch: 1 | remaining: 254s    
step 00085 (15.4%) | loss: 4.230943 | lrm: 1.00 | dt: 626ms | tok/sec: 837,366 | mfu: 20.2% | epoch: 1 | remaining: 253s    
step 00086 (15.6%) | loss: 4.214936 | lrm: 1.00 | dt: 626ms | tok/sec: 837,208 | mfu: 20.2% | epoch: 1 | remaining: 253s    
step 00087 (15.8%) | loss: 4.199867 | lrm: 1.00 | dt: 627ms | tok/sec: 836,766 | mfu: 20.2% | epoch: 1 | remaining: 252s    
step 00088 (16.0%) | loss: 4.179905 | lrm: 1.00 | dt: 627ms | tok/sec: 836,141 | mfu: 20.2% | epoch: 1 | remaining: 251s    
step 00089 (16.2%) | loss: 4.163068 | lrm: 1.00 | dt: 626ms | tok/sec: 836,949 | mfu: 20.2% | epoch: 1 | remaining: 251s    
step 00090 (16.5%) | loss: 4.148803 | lrm: 1.00 | dt: 626ms | tok/sec: 837,055 | mfu: 20.2% | epoch: 1 | remaining: 250s    
step 00091 (16.7%) | loss: 4.130803 | lrm: 1.00 | dt: 626ms | tok/sec: 837,006 | mfu: 20.2% | epoch: 1 | remaining: 249s    
step 00092 (16.9%) | loss: 4.118449 | lrm: 1.00 | dt: 626ms | tok/sec: 837,138 | mfu: 20.2% | epoch: 1 | remaining: 249s    
step 00093 (17.1%) | loss: 4.104759 | lrm: 1.00 | dt: 627ms | tok/sec: 836,786 | mfu: 20.2% | epoch: 1 | remaining: 248s    
step 00094 (17.3%) | loss: 4.092963 | lrm: 1.00 | dt: 626ms | tok/sec: 836,958 | mfu: 20.2% | epoch: 1 | remaining: 247s    
